BSE Code,company_name,NEWSID,news_dt,event_class,name,event,reason,is_independent,old_auditor,new_auditor,reason_stated,agency,rating_old,rating_new,outlook_old,outlook_new,direction,effective_date,_provenance
500325,RELIANCE INDUSTRIES LTD.,24b1d291-a633-4e91-b3e7-f13ad10503cb,2025-01-30T18:30:32.08,credit_rating_change,,,,,,,,ICRA Limited,,[ICRA]AAA (Stable),,Stable,reaffirmed,2025-01-30,ok
500325,RELIANCE INDUSTRIES LTD.,24b1d291-a633-4e91-b3e7-f13ad10503cb,2025-01-30T18:30:32.08,credit_rating_change,,,,,,,,ICRA Limited,[ICRA]A1+,,,,reaffirmed,2025-01-30,ok
500325,RELIANCE INDUSTRIES LTD.,6fc16351-abab-4827-a3da-6d2a1d68d72d,2024-12-25T17:00:58.19,credit_rating_change,,,,,,,,India Ratings and Research Private Limited,,IND AAA with a Stable Outlook/IND A1+,,Stable,reaffirmed,2024-12-25,ok
500325,RELIANCE INDUSTRIES LTD.,c22412d6-8f33-4c70-bb1f-38cc40199abf,2024-10-30T18:16:00.32,credit_rating_change,,,,,,,,CRISIL Ratings Limited,,CRISIL AAA/Stable for Non-convertible Debentures and long-term bank loan facilities; CRISIL A1+ for Commercial Paper and short-term bank loan facilities,Stable,,reaffirmed,2024-10-30,ok
500325,RELIANCE INDUSTRIES LTD.,b9b66a3e-c3b0-48b8-9c18-e45a1a488c3f,2024-07-05T22:11:36.92,credit_rating_change,,,,,,,,CARE Ratings Limited,,"CARE AAA; Stable, CARE A1+",,Stable,reaffirmed,2024-07-05,ok
500325,RELIANCE INDUSTRIES LTD.,b3795e01-2a22-4ca3-adba-2c39427e87aa,2024-06-21T19:47:17.457,director_change,Haigreve Khaitan,appointed,unstated,True,,,,,,,,,,,ok
500325,RELIANCE INDUSTRIES LTD.,b3795e01-2a22-4ca3-adba-2c39427e87aa,2024-06-21T19:47:17.457,director_change,Yasir Othman H. Al Rumayyan,reappointed,unstated,True,,,,,,,,,,2029-07-18,ok
500325,RELIANCE INDUSTRIES LTD.,b3795e01-2a22-4ca3-adba-2c39427e87aa,2024-06-21T19:47:17.457,director_change,P.M.S. Prasad,reappointed,unstated,,,,,,,,,,,2024-08-21,ok
500325,RELIANCE INDUSTRIES LTD.,5dedeac6-81b5-431f-a1ce-7dadbae7a713,2024-04-01T19:59:50.57,director_change,Shri Adil Zainulbhai,ceased,term_ended,True,,,,,,,,,,2024-03-31,ok
500325,RELIANCE INDUSTRIES LTD.,7f7c7fd8-edbb-43d4-9aeb-1d01a0c90fc2,2024-02-02T17:44:36.003,credit_rating_change,,,,,,,,ICRA Limited,,[ICRA]AAA (Stable),,Stable,reaffirmed,2024-02-02,ok
